BCP:          Node   Lvl |     BestUB     RootLB     BestLB |      #It        Obj        #Frac    #Active |      ObjSP   #SP  #Col 
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        -          -            -          - |          -     -     - 
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        1 90078919.39    28 /   28         50 | -9996809.00    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        2 90073644.27    33 /   45        350 | -9997655.79    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        3 80067807.18    72 /   86        650 | -9998366.50    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        4 70066323.80    81 /  115        950 | -9994296.38    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        5 70060657.75   133 /  147       1250 | -9996922.45    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        6 60061323.96   162 /  179       1550 | -9998754.00    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        7 60056460.39   164 /  197       1850 | -9996830.57    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        8 50056715.73   191 /  233       2150 | -9996582.97    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        9 40055197.78   203 /  257       2450 | -9999069.00    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       10 40051483.45   204 /  268       2750 | -9999695.57    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       11 20056064.62   233 /  306       3050 | -9995349.66    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       12 20051573.70   235 /  317       3350 | -4999298.74    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       13 20045532.31   258 /  353       3650 | -9998780.61    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       14 20041238.15   287 /  389       3950 | -9996010.36    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       15 16705958.53   300 /  414       4250 |   -1142.41    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       16 16702664.76   288 /  415       4550 | -9998983.59    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       17 16700284.53   347 /  458       4850 | -3331611.04    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       18 11146109.93   378 /  496       5150 | -4442672.07    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       19 10866301.85   384 /  509       5450 | -9999319.46    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       20  866393.07   413 /  546       5750 |   -1110.81    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       21  863143.53   413 /  550       6050 | -5829502.41    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       22   27394.76   432 /  568       6350 |    -496.52    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       23   25041.37   520 /  637       6650 |    -357.72    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       24   23122.42   522 /  654       6950 |    -800.82    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       25   21166.58   594 /  703       7250 |    -397.86    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       26   19112.53   599 /  711       7550 |    -267.48    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       27   18321.89   649 /  761       7850 |    -770.16    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       28   17204.51   674 /  776       8150 |    -728.55    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       29   15735.95   699 /  803       8450 |    -240.00    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       30   14929.26   743 /  845       8750 |    -310.88    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       31   14243.09   809 /  889       9050 |    -613.03    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       32   12809.93   828 /  918       9350 |    -274.31    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       33   11834.81   856 /  924       9650 |    -198.77    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       34   11428.42   901 /  974       9950 |    -497.41    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       35   10488.00   923 /  993      10250 |    -186.25    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       36   10013.12   898 /  974      10550 |    -104.38    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       37    9669.35   882 /  966      10850 |    -525.18    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       38    8776.53   903 /  982      11150 |    -287.68    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       39    8316.50   949 / 1010      11450 |    -148.37    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       40    8184.56  1026 / 1071      11750 |    -127.68    15   300  
