BCP:          Node   Lvl |     BestUB     RootLB     BestLB |      #It        Obj        #Frac    #Active |      ObjSP   #SP  #Col 
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        -          -            -          - |          -     -     - 
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        1 220186156.21    51 /   51        120 | -9997277.75    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        2 200185164.85    83 /   83        420 | -9996416.59    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        3 190181034.08   101 /  105        720 | -9995017.75    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        4 190174877.32   139 /  139       1020 | -9997649.00    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        5 180169722.02   161 /  166       1320 | -9998040.25    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        6 170164402.85   199 /  202       1620 | -9998246.52    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        7 160161959.31   212 /  224       1920 | -9997190.88    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        8 160151955.93   244 /  258       2220 | -9997965.55    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        9 140152213.35   274 /  288       2520 | -9997942.91    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       10 140150158.28   288 /  303       2820 | -9997549.52    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       11 106828173.93   287 /  329       3120 | -6662844.49    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       12 100161329.08   315 /  354       3420 | -9998670.00    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       13 95160307.34   338 /  386       3720 | -9998493.13    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       14 95157676.51   342 /  401       4020 | -9998994.78    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       15 80156980.76   354 /  412       4320 |   -3569.27    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       16 80151699.83   417 /  466       4620 |   -2819.23    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       17 80144772.46   429 /  492       4920 | -9995503.17    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       18 80141906.71   425 /  496       5220 | -9994956.89    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       19 60151354.09   429 /  517       5520 | -9993214.52    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       20 55150031.80   477 /  560       5820 | -9997953.59    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       21 55145422.14   503 /  581       6120 | -9998036.91    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       22 45143286.60   520 /  613       6420 | -9995305.28    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       23 40141024.91   528 /  631       6720 |   -1208.06    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       24 40136792.06   552 /  665       7020 |   -1078.21    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       25 40128924.15   592 /  724       7320 | -9994619.55    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       26 40125434.37   591 /  734       7620 | -4997699.82    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       27 35123166.65   571 /  744       7920 |    -730.24    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       28 35118103.00   566 /  748       8220 | -4998039.38    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       29 30116198.44   571 /  766       8520 | -9993047.38    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       30 20118265.10   590 /  798       8820 | -3330642.20    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       31 20111816.56   633 /  849       9120 |    -854.35    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       32 20105040.00   621 /  867       9420 |    -660.65    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       33 20099782.03   616 /  886       9720 | -5451660.35    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       34 20097953.82   626 /  904      10020 | -9994805.80    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       35 10101466.04   667 /  932      10320 |    -783.27    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       36 10095620.05   649 /  941      10620 | -9993200.69    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       37 6761043.15   665 /  956      10920 | -3332195.87    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       38   96171.41   611 /  934      11220 |   -1706.63    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       39   91183.52   659 /  990      11520 |    -498.45    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       40   87638.34   702 / 1027      11820 |    -472.95    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       41   85032.10   721 / 1043      12120 |   -1722.26    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       42   82129.62   758 / 1083      12420 |    -752.16    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       43   78019.57   771 / 1104      12720 |    -511.61    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       44   73668.88   742 / 1102      13020 |   -1245.72    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       45   70184.57   772 / 1138      13320 |    -582.82    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       46   66129.72   789 / 1158      13620 |    -733.84    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       47   63244.98   800 / 1170      13920 |    -411.56    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       48   60224.64   815 / 1197      14220 |    -416.29    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       49   58002.90   849 / 1221      14520 |    -843.44    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       50   54617.06   802 / 1209      14820 |    -522.44    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       51   52378.69   816 / 1215      15120 |    -380.67    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       52   50906.66   791 / 1218      15420 |    -682.71    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       53   47727.66   845 / 1256      15720 |    -801.87    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       54   44578.94   827 / 1249      16020 |    -719.62    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       55   42742.06   873 / 1294      16320 |    -430.71    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       56   40904.34   893 / 1308      16620 |    -295.86    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       57   39597.81   927 / 1335      16920 |    -750.12    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       58   36556.57   951 / 1347      17220 |    -372.74    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       59   35226.50   933 / 1343      17520 |    -242.64    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       60   34302.65   952 / 1365      17820 |    -494.83    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       61   31857.28   961 / 1390      18120 |    -461.28    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       62   30030.98  1001 / 1415      18420 |    -580.47    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       63   29036.48   980 / 1397      18720 |    -313.89    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       64   27939.78  1042 / 1440      19020 |    -261.94    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       65   27118.10  1085 / 1464      19320 |    -730.00    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       66   24669.68  1083 / 1469      19620 |    -338.60    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       67   23840.11  1104 / 1479      19920 |    -178.14    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       68   23093.11  1136 / 1496      20220 |    -414.61    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       69   21254.29  1144 / 1503      20520 |    -401.98    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       70   19750.24  1154 / 1518      20820 |    -383.38    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       71   18627.23  1169 / 1536      21120 |    -220.36    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       72   17895.03  1161 / 1531      21420 |    -250.85    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       73   17396.53  1204 / 1553      21720 |    -499.84    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       74   16270.05  1224 / 1562      22020 |    -241.91    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       75   15621.22  1217 / 1559      22320 |    -134.59    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       76   15244.27  1197 / 1555      22620 |    -223.59    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       77   13922.78  1285 / 1606      22920 |    -300.81    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       78   13080.96  1310 / 1628      23220 |    -338.19    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       79   12667.61  1284 / 1608      23520 |    -114.38    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       80   12271.74  1364 / 1670      23820 |    -225.12    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       81   12080.18  1343 / 1650      24120 |    -335.35    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       82   10980.02  1392 / 1680      24420 |    -198.34    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       83   10542.29  1402 / 1685      24720 |    -122.14    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       84   10206.42  1420 / 1705      25020 |    -199.26    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       85    9645.19  1452 / 1728      25320 |    -219.44    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       86    8965.71  1472 / 1752      25620 |    -268.77    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       87    8490.41  1500 / 1773      25920 |    -148.52    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       88    8314.56  1507 / 1776      26220 |    -174.75    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       89    8062.81  1510 / 1779      26520 |    -301.12    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       90    7096.60  1534 / 1797      26820 |     -96.56    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       91    6769.53  1546 / 1813      27120 |     -59.50    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       92    6623.95  1529 / 1797      27420 |    -106.69    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       93    6243.00  1542 / 1820      27720 |    -211.44    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       94    5874.90  1554 / 1823      28020 |    -179.68    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       95    5519.56  1588 / 1850      28320 |     -71.36    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       96    5388.12  1590 / 1848      28620 |     -78.67    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       97    5346.69  1659 / 1891      28920 |    -168.68    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       98    5057.62  1672 / 1904      29220 |     -94.63    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       99    4937.16  1697 / 1918      29520 |     -48.72    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |      100    4845.60  1628 / 1877      29820 |     -74.46    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |      101    4576.77  1647 / 1889      30120 |    -143.92    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |      102    4394.20  1670 / 1915      30420 |    -228.32    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |      103    4157.52  1663 / 1909      30720 |     -42.48    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |      104    4082.20  1634 / 1887      31020 |     -86.53    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |      105    3993.39  1643 / 1892      31320 |    -192.72    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |      106    3709.74  1711 / 1945      31620 |     -67.45    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |      107    3628.46  1708 / 1961      31920 |     -22.52    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |      108    3610.29  1715 / 1959      32220 |     -51.23    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |      109    3496.28  1725 / 1966      32520 |    -138.77    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |      110    3353.06  1709 / 1950      32820 |    -194.90    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |      111    3217.50  1714 / 1965      33120 |     -30.10    15   298  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |      112    3188.67  1708 / 1954      33418 |     -32.24    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |      113    3163.35  1703 / 1939      33718 |    -124.93    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |      114    3080.35  1672 / 1933      34018 |     -49.40    15   278  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |      115    3070.80  1642 / 1903      34296 |     -19.01    22   179  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |      116    3036.13  1665 / 1914      34475 |     -71.68    19   246  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |      117    2973.71  1702 / 1942      34721 |     -89.31    19   300  
