BCP:          Node   Lvl |     BestUB     RootLB     BestLB |      #It        Obj        #Frac    #Active |      ObjSP   #SP  #Col 
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        -          -            -          - |          -     -     - 
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        1 90134921.18    33 /   33         80 | -9995464.00    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        2 90126792.13    60 /   63        380 | -9997220.07    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        3 90119554.81    73 /   84        680 | -9997113.38    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        4 80118849.50   100 /  106        980 | -9995809.00    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        5 80109232.77   136 /  145       1280 | -9995974.91    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        6 70106904.44   167 /  175       1580 | -9996277.81    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        7 60106939.43   179 /  200       1880 | -9998482.67    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        8 60101900.09   206 /  229       2180 | -9998449.08    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        9 60097572.65   222 /  252       2480 | -9996395.89    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       10 55094427.20   222 /  277       2780 | -4997993.02    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       11 50092970.32   261 /  308       3080 | -9996471.90    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       12 40092181.51   295 /  352       3380 | -9996714.11    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       13 40088084.15   280 /  362       3680 | -9998565.37    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       14 40084531.87   255 /  372       3980 | -9998474.00    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       15 40079020.59   282 /  401       4280 |   -1128.76    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       16 40074862.96   307 /  423       4580 |    -505.66    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       17 40068770.66   315 /  451       4880 | -9996834.78    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       18 40065197.20   324 /  468       5180 | -9999013.04    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       19 40060709.16   326 /  486       5480 | -9999077.75    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       20 40057398.52   342 /  501       5780 |   -1008.85    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       21 40052068.36   345 /  526       6080 |   -1071.91    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       22 40046345.98   310 /  531       6380 | -9997673.08    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       23 30049387.70   410 /  602       6680 | -9999455.21    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       24 30045533.68   402 /  604       6980 | -9999903.42    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       25 20045754.51   469 /  664       7280 |    -562.30    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       26 20042797.02   543 /  721       7580 |    -536.40    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       27 20039524.73   533 /  721       7880 | -9996472.47    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       28 20037311.94   551 /  735       8180 | -9996562.68    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       29 20035102.05   574 /  757       8480 | -4999688.84    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       30 20033952.16   559 /  752       8780 | -9997386.71    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       31 20032328.09   557 /  758       9080 |    -392.42    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       32 20029964.03   564 /  766       9380 |    -336.69    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       33 20028239.58   627 /  818       9680 | -9997403.23    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       34 20026514.74   627 /  820       9980 | -9997890.79    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       35 10028068.24   590 /  814      10280 |    -805.00    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       36 10025820.58   611 /  827      10580 |    -302.78    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       37 10024191.14   600 /  835      10880 |    -290.00    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       38 10022939.45   663 /  881      11180 | -9997929.18    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       39 10021615.02   744 /  935      11480 | -9997348.64    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       40   24528.30   860 / 1028      11780 |    -312.43    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       41   22709.13   906 / 1063      12080 |    -281.53    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       42   22046.27   915 / 1071      12380 |    -285.90    15   300  
